Image,Feature_Type,K,Silhouette_Score
image1.jpg,rgb,2,0.5319429
image1.jpg,rgb,3,0.49649224
image1.jpg,rgb,4,0.4780232
image1.jpg,rgb,5,0.5081528
image10.jpg,rgb,2,0.50100774
image10.jpg,rgb,3,0.4206956
image10.jpg,rgb,4,0.3737668
image10.jpg,rgb,5,0.38376224
image11.jpg,rgb,2,0.9022036
image11.jpg,rgb,3,0.8826667
image11.jpg,rgb,4,0.8669721
image11.jpg,rgb,5,0.8513056
image12.png,rgb,2,0.6321749
image12.png,rgb,3,0.5083749
image12.png,rgb,4,0.51408386
image12.png,rgb,5,0.51142114
image13.jpg,rgb,2,0.45394433
image13.jpg,rgb,3,0.5012664
image13.jpg,rgb,4,0.49237958
image13.jpg,rgb,5,0.45700032
image14.jpg,rgb,2,0.5365766
image14.jpg,rgb,3,0.5076895
image14.jpg,rgb,4,0.4573428
image14.jpg,rgb,5,0.41989785
image15.jpg,rgb,2,0.9320723
image15.jpg,rgb,3,0.9091691
image15.jpg,rgb,4,0.8902749
image15.jpg,rgb,5,0.88181984
image2.jpg,rgb,2,0.6601889
image2.jpg,rgb,3,0.699391
image2.jpg,rgb,4,0.608271
image2.jpg,rgb,5,0.61542606
image3.jpg,rgb,2,0.620656
image3.jpg,rgb,3,0.5679536
image3.jpg,rgb,4,0.5742508
image3.jpg,rgb,5,0.5722207
image4.jpg,rgb,2,0.5764079
image4.jpg,rgb,3,0.5383971
image4.jpg,rgb,4,0.5087008
image4.jpg,rgb,5,0.5316303
image5.jpg,rgb,2,0.594845
image5.jpg,rgb,3,0.55761623
image5.jpg,rgb,4,0.49583846
image5.jpg,rgb,5,0.49405828
image6.jpg,rgb,2,0.7392818
image6.jpg,rgb,3,0.67479277
image6.jpg,rgb,4,0.62032646
image6.jpg,rgb,5,0.5866318
image7.jpg,rgb,2,0.6646539
image7.jpg,rgb,3,0.6426865
image7.jpg,rgb,4,0.6602905
image7.jpg,rgb,5,0.6251858
image8.jpg,rgb,2,0.59352124
image8.jpg,rgb,3,0.49883026
image8.jpg,rgb,4,0.44314623
image8.jpg,rgb,5,0.4934637
image9.jpg,rgb,2,0.60759425
image9.jpg,rgb,3,0.5334431
image9.jpg,rgb,4,0.48573506
image9.jpg,rgb,5,0.48009923
image1.jpg,hsv,2,0.47413504
image1.jpg,hsv,3,0.47629985
image1.jpg,hsv,4,0.44465387
image1.jpg,hsv,5,0.4648563
image10.jpg,hsv,2,0.369736
image10.jpg,hsv,3,0.31253922
image10.jpg,hsv,4,0.36284855
image10.jpg,hsv,5,0.38153023
image11.jpg,hsv,2,0.6676529
image11.jpg,hsv,3,0.67343473
image11.jpg,hsv,4,0.7318202
image11.jpg,hsv,5,0.7548723
image12.png,hsv,2,0.46191886
image12.png,hsv,3,0.48106587
image12.png,hsv,4,0.5236691
image12.png,hsv,5,0.5003711
image13.jpg,hsv,2,0.36640504
image13.jpg,hsv,3,0.3655945
image13.jpg,hsv,4,0.37966985
image13.jpg,hsv,5,0.38269478
image14.jpg,hsv,2,0.40459388
image14.jpg,hsv,3,0.31994203
image14.jpg,hsv,4,0.35304105
image14.jpg,hsv,5,0.35599366
image15.jpg,hsv,2,0.9046064
image15.jpg,hsv,3,0.87529427
image15.jpg,hsv,4,0.8635291
image15.jpg,hsv,5,0.8590044
image2.jpg,hsv,2,0.45536107
image2.jpg,hsv,3,0.48426694
image2.jpg,hsv,4,0.5032844
image2.jpg,hsv,5,0.54449415
image3.jpg,hsv,2,0.46321684
image3.jpg,hsv,3,0.48260865
image3.jpg,hsv,4,0.47387096
image3.jpg,hsv,5,0.44397792
image4.jpg,hsv,2,0.4986709
image4.jpg,hsv,3,0.4377194
image4.jpg,hsv,4,0.41577035
image4.jpg,hsv,5,0.4114086
image5.jpg,hsv,2,0.49139205
image5.jpg,hsv,3,0.5253492
image5.jpg,hsv,4,0.49842915
image5.jpg,hsv,5,0.45743412
image6.jpg,hsv,2,0.5916828
image6.jpg,hsv,3,0.60648453
image6.jpg,hsv,4,0.59605324
image6.jpg,hsv,5,0.54398006
image7.jpg,hsv,2,0.48624092
image7.jpg,hsv,3,0.5886295
image7.jpg,hsv,4,0.5977715
image7.jpg,hsv,5,0.6043001
image8.jpg,hsv,2,0.37959218
image8.jpg,hsv,3,0.4608966
image8.jpg,hsv,4,0.47305697
image8.jpg,hsv,5,0.44413614
image9.jpg,hsv,2,0.42253584
image9.jpg,hsv,3,0.48364386
image9.jpg,hsv,4,0.49986547
image9.jpg,hsv,5,0.50438964
image1.jpg,rgb+xy,2,0.5319555
image1.jpg,rgb+xy,3,0.4392439
image1.jpg,rgb+xy,4,0.47852716
image1.jpg,rgb+xy,5,0.5083445
image10.jpg,rgb+xy,2,0.5015486
image10.jpg,rgb+xy,3,0.42115694
image10.jpg,rgb+xy,4,0.37361625
image10.jpg,rgb+xy,5,0.38320243
image11.jpg,rgb+xy,2,0.9013525
image11.jpg,rgb+xy,3,0.8810709
image11.jpg,rgb+xy,4,0.8629272
image11.jpg,rgb+xy,5,0.8481144
image12.png,rgb+xy,2,0.63238436
image12.png,rgb+xy,3,0.5103476
image12.png,rgb+xy,4,0.51403725
image12.png,rgb+xy,5,0.51281345
image13.jpg,rgb+xy,2,0.45399725
image13.jpg,rgb+xy,3,0.5012648
image13.jpg,rgb+xy,4,0.49233836
image13.jpg,rgb+xy,5,0.45698994
image14.jpg,rgb+xy,2,0.5365894
image14.jpg,rgb+xy,3,0.50780714
image14.jpg,rgb+xy,4,0.4572773
image14.jpg,rgb+xy,5,0.4197488
image15.jpg,rgb+xy,2,0.9318432
image15.jpg,rgb+xy,3,0.9087915
