Image,Best_Feature_Type,K,Silhouette_Score
image1.jpg,rgb+xy,2,0.5319555
image1.jpg,rgb,3,0.49649224
image1.jpg,rgb+xy,4,0.47852716
image1.jpg,rgb+xy,5,0.5083445
image10.jpg,rgb+xy,2,0.5015486
image10.jpg,rgb+xy,3,0.42115694
image10.jpg,rgb,4,0.3737668
image10.jpg,rgb,5,0.38376224
image11.jpg,rgb,2,0.9022036
image11.jpg,rgb,3,0.8826667
image11.jpg,rgb,4,0.8669721
image11.jpg,rgb,5,0.8513056
image12.png,rgb+xy,2,0.63238436
image12.png,rgb+xy,3,0.5103476
image12.png,hsv,4,0.5236691
image12.png,rgb+xy,5,0.51281345
image13.jpg,rgb+xy,2,0.45399725
image13.jpg,rgb,3,0.5012664
image13.jpg,rgb,4,0.49237958
image13.jpg,rgb,5,0.45700032
image14.jpg,rgb+xy,2,0.5365894
image14.jpg,rgb+xy,3,0.50780714
image14.jpg,rgb,4,0.4573428
image14.jpg,rgb,5,0.41989785
image15.jpg,rgb,2,0.9320723
image15.jpg,rgb,3,0.9091691
image15.jpg,rgb,4,0.8902749
image15.jpg,rgb,5,0.88181984
image2.jpg,rgb,2,0.6601889
image2.jpg,rgb,3,0.699391
image2.jpg,rgb,4,0.608271
image2.jpg,rgb,5,0.61542606
image3.jpg,rgb,2,0.620656
image3.jpg,rgb+xy,3,0.5706341
image3.jpg,rgb,4,0.5742508
image3.jpg,rgb+xy,5,0.57292545
image4.jpg,rgb,2,0.5764079
image4.jpg,rgb,3,0.5383971
image4.jpg,rgb+xy,4,0.5112722
image4.jpg,rgb,5,0.5316303
image5.jpg,rgb+xy,2,0.594997
image5.jpg,rgb,3,0.55761623
image5.jpg,hsv,4,0.49842915
image5.jpg,rgb+xy,5,0.49480957
image6.jpg,rgb,2,0.7392818
image6.jpg,rgb,3,0.67479277
image6.jpg,rgb+xy,4,0.62149966
image6.jpg,rgb,5,0.5866318
image7.jpg,rgb,2,0.6646539
image7.jpg,rgb,3,0.6426865
image7.jpg,rgb,4,0.6602905
image7.jpg,rgb+xy,5,0.6435871
image8.jpg,rgb,2,0.59352124
image8.jpg,rgb,3,0.49883026
image8.jpg,hsv,4,0.47305697
image8.jpg,rgb,5,0.4934637
image9.jpg,rgb,2,0.60759425
image9.jpg,rgb,3,0.5334431
image9.jpg,hsv,4,0.49986547
image9.jpg,hsv,5,0.50438964
