Image,Method,K,Silhouette_Score
image1.jpg,RGB,2,0.5524
image1.jpg,RGB,3,0.55758405
image1.jpg,RGB,4,0.46158898
image1.jpg,RGB,5,0.50310934
image1.jpg,HSV,2,0.52948296
image1.jpg,HSV,3,0.49594182
image1.jpg,HSV,4,0.5134333
image1.jpg,HSV,5,0.5141874
image1.jpg,RGB+XY,2,0.46275127
image1.jpg,RGB+XY,3,0.49160087
image1.jpg,RGB+XY,4,0.30018887
image1.jpg,RGB+XY,5,0.32062954
image1.jpg,HSV+XY,2,0.44837177
image1.jpg,HSV+XY,3,0.37055326
image1.jpg,HSV+XY,4,0.3204474
image1.jpg,HSV+XY,5,0.34475383
image1.jpg,RGB+Blur,2,0.5491268
image1.jpg,RGB+Blur,3,0.57976705
image1.jpg,RGB+Blur,4,0.44953686
image1.jpg,RGB+Blur,5,0.4787176
image10.jpg,RGB,2,0.44772214
image10.jpg,RGB,3,0.40383887
image10.jpg,RGB,4,0.4271198
image10.jpg,RGB,5,0.4279353
image10.jpg,HSV,2,0.33272907
image10.jpg,HSV,3,0.3098383
image10.jpg,HSV,4,0.32774198
image10.jpg,HSV,5,0.34870085
image10.jpg,RGB+XY,2,0.32746255
image10.jpg,RGB+XY,3,0.25822452
image10.jpg,RGB+XY,4,0.2671249
image10.jpg,RGB+XY,5,0.28285813
image10.jpg,HSV+XY,2,0.27508765
image10.jpg,HSV+XY,3,0.2822942
image10.jpg,HSV+XY,4,0.24533382
image10.jpg,HSV+XY,5,0.26695722
image10.jpg,RGB+Blur,2,0.45171723
image10.jpg,RGB+Blur,3,0.4033291
image10.jpg,RGB+Blur,4,0.4256181
image10.jpg,RGB+Blur,5,0.43673792
image11.jpg,RGB,2,0.90889466
image11.jpg,RGB,3,0.8922435
image11.jpg,RGB,4,0.87884027
image11.jpg,RGB,5,0.87022614
image11.jpg,HSV,2,0.7885084
image11.jpg,HSV,3,0.8346044
image11.jpg,HSV,4,0.8475243
image11.jpg,HSV,5,0.84093195
image11.jpg,RGB+XY,2,0.5807264
image11.jpg,RGB+XY,3,0.37247938
image11.jpg,RGB+XY,4,0.38614604
image11.jpg,RGB+XY,5,0.4037801
image11.jpg,HSV+XY,2,0.4721759
image11.jpg,HSV+XY,3,0.4123767
image11.jpg,HSV+XY,4,0.39570296
image11.jpg,HSV+XY,5,0.40585667
image11.jpg,RGB+Blur,2,0.90461403
image11.jpg,RGB+Blur,3,0.89156115
image11.jpg,RGB+Blur,4,0.86747515
image11.jpg,RGB+Blur,5,0.86026007
image12.png,RGB,2,0.64683676
image12.png,RGB,3,0.5520798
image12.png,RGB,4,0.5385386
image12.png,RGB,5,0.52123237
image12.png,HSV,2,0.42610785
image12.png,HSV,3,0.504115
image12.png,HSV,4,0.56264836
image12.png,HSV,5,0.52410877
image12.png,RGB+XY,2,0.55858827
image12.png,RGB+XY,3,0.41333336
image12.png,RGB+XY,4,0.40114647
image12.png,RGB+XY,5,0.41069847
image12.png,HSV+XY,2,0.34854046
image12.png,HSV+XY,3,0.3910939
image12.png,HSV+XY,4,0.42573726
image12.png,HSV+XY,5,0.41011292
image12.png,RGB+Blur,2,0.6318691
image12.png,RGB+Blur,3,0.54755616
image12.png,RGB+Blur,4,0.5325105
image12.png,RGB+Blur,5,0.5098228
image13.jpg,RGB,2,0.4913883
image13.jpg,RGB,3,0.52016777
image13.jpg,RGB,4,0.49162337
image13.jpg,RGB,5,0.4922912
image13.jpg,HSV,2,0.34937936
image13.jpg,HSV,3,0.41668165
image13.jpg,HSV,4,0.40905225
image13.jpg,HSV,5,0.42767322
image13.jpg,RGB+XY,2,0.40995675
image13.jpg,RGB+XY,3,0.40817374
image13.jpg,RGB+XY,4,0.36159322
image13.jpg,RGB+XY,5,0.3534761
image13.jpg,HSV+XY,2,0.27204883
image13.jpg,HSV+XY,3,0.32451433
image13.jpg,HSV+XY,4,0.31202382
image13.jpg,HSV+XY,5,0.31413996
image13.jpg,RGB+Blur,2,0.48304582
image13.jpg,RGB+Blur,3,0.5003295
image13.jpg,RGB+Blur,4,0.47018623
image13.jpg,RGB+Blur,5,0.46829793
image14.jpg,RGB,2,0.51602924
image14.jpg,RGB,3,0.46592987
image14.jpg,RGB,4,0.42598322
image14.jpg,RGB,5,0.43399724
image14.jpg,HSV,2,0.34802482
image14.jpg,HSV,3,0.33834338
image14.jpg,HSV,4,0.35788468
image14.jpg,HSV,5,0.37328964
image14.jpg,RGB+XY,2,0.41164285
image14.jpg,RGB+XY,3,0.3161847
image14.jpg,RGB+XY,4,0.3424738
image14.jpg,RGB+XY,5,0.28667825
image14.jpg,HSV+XY,2,0.27995163
image14.jpg,HSV+XY,3,0.2679091
image14.jpg,HSV+XY,4,0.27287966
image14.jpg,HSV+XY,5,0.24874699
image14.jpg,RGB+Blur,2,0.5119222
image14.jpg,RGB+Blur,3,0.47122955
image14.jpg,RGB+Blur,4,0.4176878
image14.jpg,RGB+Blur,5,0.42529774
image15.jpg,RGB,2,0.95075583
image15.jpg,RGB,3,0.9345089
image15.jpg,RGB,4,0.9265152
image15.jpg,RGB,5,0.9136404
image15.jpg,HSV,2,0.9404144
image15.jpg,HSV,3,0.92796755
image15.jpg,HSV,4,0.92379564
image15.jpg,HSV,5,0.89067924
image15.jpg,RGB+XY,2,0.7228827
image15.jpg,RGB+XY,3,0.36065274
image15.jpg,RGB+XY,4,0.37052828
